rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
364,Víctor Camarasa Ferrando,28,2,1.795264019044169,2.381990513,0.06411657210872032,0.07142857142857142,0.2047359809558309,1.2962090279399123
365,Clément Lenglet,25,4,3.79534825084179,3.211109823,0.1518139300336716,0.16,0.20465174915820983,1.7942021951371803
366,Roberto Inglese,35,3,2.7983181281177347,2.5767282149,0.07995194651764956,0.08571428571428572,0.20168187188226527,1.6045520081315832
367,Jeison Fabián Murillo Cerón,21,2,1.7998850758658773,1.8902552423999999,0.08570881313647034,0.09523809523809523,0.20011492413412268,1.2828168467210614
368,Blerim Džemaili,46,4,3.8023832731322647,2.9941917664999997,0.08266050593765793,0.08695652173913043,0.19761672686773535,1.8676392446096928
369,Piotr Zieliński,86,6,5.803874054355825,5.9993233736,0.06748690760878867,0.06976744186046512,0.19612594564417485,2.326411086260652
370,Francisco Alcácer García,96,21,20.812278606937056,19.199918689,0.216794568822261,0.21875,0.18772139306294378,4.0373617177728045
371,Mirlan Murzaev,32,2,1.8147129842149055,1.725027333,0.056709780756715795,0.0625,0.18528701578509454,1.3083581347412918
372,David Zurutuza Veillet,21,2,1.81973088974757,2.1436378504,0.08665385189274143,0.09523809523809523,0.1802691102524301,1.2892029315599378
373,Liston Colaco,84,8,7.821154493436961,6.5377437206,0.09310898206472572,0.09523809523809523,0.17884550656303944,2.6632564202461033
374,Yevhen Konoplyanka,50,3,2.824157666484345,2.8740065120000002,0.056483153329686904,0.06,0.17584233351565492,1.6323726094189095
375,Aurélien Djani Tchouaméni,22,1,0.8283210502337093,0.944803255,0.03765095682880497,0.045454545454545456,0.17167894976629072,0.8928235940716226
376,Manolo Gabbiadini,29,4,3.832238422316721,2.969257466,0.13214615249368003,0.13793103448275862,0.16776157768327904,1.823683870458122
377,Danny Rose,29,1,0.8329830197803461,0.9628758883,0.02872355240621883,0.034482758620689655,0.16701698021965394,0.8994758408974611
378,Karim Bellarabi,72,6,5.833736912969422,5.509495304,0.08102412379124196,0.08333333333333333,0.16626308703057813,2.3153970482764827
379,Marco Benassi,47,3,2.842345320131698,2.7095739365,0.060475432343227616,0.06382978723404255,0.15765467986830206,1.63415215265531
380,Mario Pašalić,30,4,3.8537774782865033,3.174190997,0.12845924927621677,0.13333333333333333,0.1462225217134967,1.8326822191935588
381,Perparim Hetemaj,26,1,0.8569562081951412,0.9368787094,0.03295985416135158,0.038461538461538464,0.14304379180485882,0.9103356834434012
382,Seko Fofana,56,3,2.8631920151255006,2.6175328288,0.051128428841526796,0.05357142857142857,0.1368079848744994,1.6482722790608744
383,Gerard Deulofeu Lázaro,20,3,2.8680182756697796,2.5623862305,0.143400913783489,0.15,0.13198172433022037,1.5673997046672514
384,Ludovic Blas,21,2,1.8838688456099297,1.54732024,0.08970804026713951,0.09523809523809523,0.11613115439007027,1.3095307034773733
385,Willian Borges da Silva,64,5,4.89451279643324,3.8783585604,0.07647676244426937,0.078125,0.10548720356676,2.1260753288677186
386,Corentin Tolisso,66,5,4.900160794622641,4.9611676451,0.07424486052458547,0.07575757575757576,0.09983920537735891,2.1298706627111987
387,Charlie Adam,28,1,0.9048370561585909,0.9784929337,0.0323156091485211,0.03571428571428571,0.09516294384140911,0.9357332395018739
388,Tiago Manuel Dias Correia,98,4,3.910482685197608,3.0598147923,0.03990288454283274,0.04081632653061224,0.089517314802392,1.9376385488793881
389,Sylvio Mendes Campos Junior,21,1,0.9104913703038943,0.9161717586,0.04335673191923306,0.047619047619047616,0.08950862969610573,0.9332820795701872
390,Anderson Luís de Souza,98,7,6.912515367131186,5.7578222281,0.07053587109317537,0.07142857142857142,0.08748463286881414,2.5347455640094583
391,Alberto Moreno Pérez,37,2,1.9160543625765996,1.5546405562999999,0.0517852530426108,0.05405405405405406,0.08394563742340044,1.3478987360210604
392,Jesse Lingard,47,5,4.922054604697606,4.42608985,0.10472456605739587,0.10638297872340426,0.07794539530239408,2.0991890272459606
393,Florian Thauvin,25,2,1.928948310075918,2.206350377,0.07715793240303671,0.08,0.07105168992408206,1.3342093714099479
