rank,team,shots_for,goals_for,xg_for,attacking_over_under,shots_against,goals_against,xg_against,defensive_over_under,net_xg,net_goals
59,Inter Miami,70,9,8.08041099812015,0.9195890018798494,76,3,6.326427171906998,3.3264271719069978,1.7539838262131529,6
60,Real Murcia CF,20,2,1.1262795646489465,0.8737204353510535,16,5,3.1532017248986484,-1.8467982751013516,-2.026922160249702,-3
61,Albania,32,3,2.1343064270531777,0.8656935729468223,54,4,4.877368636180213,0.8773686361802131,-2.7430622091270354,-1
62,Freiburg,21,3,2.1872611870451926,0.8127388129548074,37,4,3.58729199348038,-0.4127080065196198,-1.4000308064351876,-1
63,Cape Verde Islands,74,7,6.201760121214796,0.7982398787852043,73,3,5.993626555746687,2.993626555746687,0.2081335654681089,4
64,Frosinone,489,31,30.208673691927213,0.7913263080727866,769,68,69.0124838566032,1.0124838566031968,-38.80381016467598,-37
65,Real Zaragoza,105,10,9.344967030214436,0.6550329697855641,184,28,27.40506652462093,-0.5949334753790687,-18.060099494406494,-18
66,Venezuela,55,6,5.469226428130217,0.5307735718697826,50,2,3.861889755829365,1.861889755829365,1.6073366723008524,4
67,Werder Bremen,28,3,2.4697954675997287,0.5302045324002713,65,9,6.716726832051113,-2.283273167948887,-4.246931364451385,-6
68,Genoa,469,40,39.54401118474752,0.455988815252482,513,44,47.99394478660497,3.9939447866049704,-8.449933601857452,-4
69,Palermo,415,36,35.54914629250729,0.4508537074927119,612,56,54.44132367352858,-1.5586763264714207,-18.89217738102129,-20
70,Gimnàstic Tarragona,11,1,0.5924918529390021,0.4075081470609979,23,5,3.9618140142008746,-1.0381859857991254,-3.3693221612618727,-4
71,Tanzania,12,1,0.6016656010182728,0.3983343989817272,35,4,3.670372837675244,-0.3296271623247562,-3.068707236656971,-3
72,Côte d'Ivoire,96,7,6.669541278353239,0.33045872164676116,65,7,5.9545907390023,-1.0454092609977002,0.714950539350939,0
73,Everton,520,54,53.72144053555405,0.2785594644459479,575,51,57.92190655037718,6.92190655037718,-4.200466014823128,3
74,Almería,61,4,3.7514787791699633,0.2485212208300367,204,32,28.35129727705371,-3.6487027229462896,-24.599818497883746,-28
75,Leeds United,16,1,0.7911516073913369,0.20884839260866306,29,8,6.533213367545311,-1.4667866324546894,-5.742061760153973,-7
76,Southampton,541,54,53.82292533949984,0.17707466050016052,502,43,41.19018356918641,-1.8098164308135907,12.63274177031343,11
77,Schalke 04,28,3,2.8567106740257753,0.14328932597422472,35,3,3.7967777473819013,0.7967777473819013,-0.940067073356126,0
78,Darmstadt 98,32,3,2.899002861265775,0.100997138734225,74,8,9.640141396403942,1.6401413964039424,-6.741138535138168,-5
79,Saudi Arabia,62,4,3.9092973107584736,0.09070268924152636,85,11,9.993774582929058,-1.006225417070942,-6.084477272170584,-7
80,Xerez,15,1,0.9187111754329566,0.08128882456704345,25,5,4.808496100495326,-0.19150389950467428,-3.889784925062369,-4
81,Stade Brestois,12,1,0.9531352020418653,0.046864797958134696,31,3,3.9608650854822693,0.9608650854822693,-3.007729883440404,-2
82,Paraguay,43,3,2.9621897687652976,0.037810231234702396,28,7,3.081452374364315,-3.918547625635685,-0.11926260559901758,-4
83,Strasbourg,31,3,2.9815033132418667,0.01849668675813332,21,4,3.042430763880114,-0.9575692361198862,-0.060927450638247116,-1
84,North Macedonia,32,2,1.9875981810344527,0.012401818965547262,43,8,8.205829305407294,0.20582930540729372,-6.218231124372841,-6
85,Leganés,85,7,6.996584076127499,0.00341592387250067,88,18,14.413503020196446,-3.586496979803554,-7.4169189440689465,-11
86,Uruguay,199,20,20.003668189691894,-0.003668189691893531,157,11,10.235624340483792,-0.7643756595162081,9.768043849208102,9
87,Romania,55,5,5.005196534724292,-0.005196534724292157,92,9,8.941357525017798,-0.058642474982201875,-3.936160990293506,-4
88,Charlton Athletic,18,1,1.0330048479897558,-0.03300484798975578,32,3,2.797068855008746,-0.2029311449912541,-1.7640640070189901,-2
89,Bayer Leverkusen,1092,127,127.04781430569717,-0.047814305697173154,646,57,65.00873095589121,8.00873095589121,62.03908334980596,70
90,Turkey,113,9,9.065069131101565,-0.06506913110156454,132,13,15.044899748566996,2.044899748566996,-5.979830617465431,-4
91,Peru,74,4,4.139391012715414,-0.13939101271541432,96,9,12.99320019186329,3.9932001918632896,-8.853809179147875,-5
92,Ecuador,77,6,6.146137726052917,-0.14613772605291686,68,6,6.009774464673131,0.009774464673131256,0.1363632613797856,0
93,NY Cosmos,26,2,2.1468351693633827,-0.1468351693633827,24,1,1.4349476750192613,0.43494767501926135,0.7118874943441214,1
94,Zambia,25,2,2.1647517300285837,-0.16475173002858368,52,3,6.0623770442275475,3.0623770442275475,-3.897625314198964,-1
95,Fiorentina,587,52,52.191546086899855,-0.19154608689985508,364,41,37.20791660275358,-3.7920833972464223,14.983629484146277,11
96,Bolivia,17,1,1.21516983930189,-0.21516983930188993,51,10,7.560914922745301,-2.439085077254699,-6.345745083443411,-9
97,Bolton Wanderers,31,2,2.2278981096198,-0.22789810961980006,19,3,1.79438575848532,-1.20561424151468,0.43351235113448006,-1
98,Portsmouth,23,2,2.2311488556428665,-0.23114885564286647,36,1,2.8777160815215876,1.8777160815215876,-0.6465672258787212,1
99,Newcastle United,418,42,42.24401492762485,-0.24401492762485333,579,61,59.34890044681223,-1.6510995531877697,-17.104885519187377,-19
100,Hércules,13,2,2.263307095771055,-0.2633070957710548,35,3,3.6236306496123305,0.6236306496123305,-1.3603235538412757,-1
101,SC Delhi,28,2,2.2764652634691447,-0.2764652634691447,42,2,3.340561056953314,1.3405610569533142,-1.0640957934841695,0
102,Clermont Foot,28,4,4.289142776009344,-0.2891427760093439,49,11,8.244908964629794,-2.7550910353702065,-3.9557661886204496,-7
103,German DR,24,1,1.3196526077925383,-0.31965260779253835,42,2,2.2493801310246817,0.2493801310246817,-0.9297275232321434,-1
104,Mali,63,5,5.330518640073701,-0.33051864007370124,39,3,2.9810064207855547,-0.018993579214445333,2.3495122192881466,2
105,Rayo Vallecano,602,52,52.36505302263003,-0.36505302263002903,620,101,84.48412190147211,-16.515878098527892,-32.11906887884208,-49
106,Metz,4,0,0.3715454117683166,-0.3715454117683166,27,5,5.526401001695368,0.5264010016953682,-5.154855589927052,-5
107,Wolverhampton Wanderers,20,1,1.3828858829724278,-0.38288588297242776,27,5,3.4600551674966886,-1.5399448325033114,-2.0771692845242606,-4
108,Leicester City,520,59,59.39723465022747,-0.3972346502274675,548,34,46.2613314249347,12.261331424934703,13.135903225292765,25
109,Hungary,50,5,5.406467489930277,-0.4064674899302769,83,10,11.961234889180485,1.961234889180485,-6.554767399250208,-5
110,Auxerre,24,1,1.415085815031619,-0.415085815031619,24,7,4.348599079894876,-2.6514009201051243,-2.9335132648632567,-6
111,Seattle Sounders,24,1,1.4349476750192613,-0.43494767501926135,26,2,2.1468351693633827,0.1468351693633827,-0.7118874943441214,-1
112,Juventus W,15,0,0.4412088950578347,-0.4412088950578347,19,2,1.3457803203196375,-0.6542196796803625,-0.9045714252618027,-2
113,Slovakia,74,5,5.452071056714938,-0.45207105671493775,101,8,9.76719151203973,1.7671915120397301,-4.315120455324792,-3
114,France,346,31,31.45229570469842,-0.45229570469842173,268,21,22.981234179447803,1.981234179447803,8.471061525250619,10
115,Ukraine,90,8,8.460606602751806,-0.4606066027518061,104,14,9.950627220361815,-4.049372779638185,-1.4900206176100088,-6
116,AC Ajaccio,15,0,0.46929724342002505,-0.46929724342002505,27,7,6.321127023219489,-0.6788729767805108,-5.8518297797994645,-7
117,Borussia Dortmund,53,5,5.5022152625365965,-0.5022152625365965,71,4,7.975013196932549,3.975013196932549,-2.4727979343959525,1
118,Italy,197,16,16.509741265736302,-0.5097412657363023,135,11,12.433563477897842,1.4335634778978417,4.076177787838461,5
119,Norwich City,423,37,37.52339798901854,-0.523397989018541,489,57,53.84843138843676,-3.151568611563242,-16.325033399418217,-20
120,Union Berlin,11,0,0.5281612329464056,-0.5281612329464056,37,4,3.6598461386052366,-0.34015386139476345,-3.131684905658831,-4
121,Albacete,10,1,1.5325117118874778,-0.5325117118874778,32,4,2.0505256757855452,-1.9494743242144548,-0.5180139638980674,-3
122,Bologna,392,31,31.547134359577797,-0.5471343595777967,478,37,44.80404066172607,7.80404066172607,-13.256906302148273,-6
123,Austria,102,10,10.566682161064463,-0.5666821610644632,97,9,10.395887157876391,1.3958871578763912,0.17079500318807206,1
124,Denmark,218,18,18.56935197866532,-0.5693519786653205,202,12,16.757251828264014,4.757251828264014,1.8121001504013066,6
125,Jamaica,28,1,1.5789036297958137,-0.5789036297958137,59,5,4.4427603756258165,-0.5572396243741835,-2.863856745830003,-4
126,Hannover 96,12,0,0.6055906787324222,-0.6055906787324222,24,3,2.3208632218530467,-0.6791367781469533,-1.7152725431206246,-3
127,Bochum,9,0,0.6181886973187842,-0.6181886973187842,43,7,7.677813053614765,0.6778130536147646,-7.059624356295981,-7
128,Qatar,20,1,1.6186022504870643,-0.6186022504870643,30,6,4.043202872940621,-1.956797127059379,-2.424600622453557,-5
129,LAFC,22,1,1.6217658603838392,-0.6217658603838392,9,3,1.7491727748091384,-1.2508272251908616,-0.12740691442529917,-2
130,Middlesbrough,14,0,0.636354617232805,-0.636354617232805,35,6,4.437516611263201,-1.5624833887367986,-3.8011619940303962,-6
131,Córdoba CF,13,0,0.6478483147615237,-0.6478483147615237,42,12,7.137509706969873,-4.862490293030127,-6.489661392208349,-12
132,Empoli,487,38,38.681803897273674,-0.6818038972736744,537,46,44.391462969571826,-1.6085370304281739,-5.709659072298152,-8
133,Caen,105,7,7.720515430943178,-0.7205154309431778,118,15,10.337012038076486,-4.662987961923514,-2.616496607133308,-8
134,VfB Stuttgart,66,7,7.726148550786463,-0.7261485507864629,89,10,10.269392769961765,0.2693927699617653,-2.5432442191753024,-3
135,Cincinnati,15,1,1.775113240531306,-0.7751132405313059,18,0,1.1477009056532304,1.1477009056532304,0.6274123348780756,1
136,Borussia Mönchengladbach,36,2,2.786700705859209,-0.786700705859209,82,9,11.121611430148775,2.121611430148775,-8.334910724289566,-7
137,Wolfsburg,44,3,3.7872986622786446,-0.7872986622786446,58,8,6.6183263514276325,-1.3816736485723675,-2.831027689148988,-5
138,Huesca,18,2,2.798187717794162,-0.7981877177941619,61,11,8.367963956558974,-2.632036043441026,-5.5697762387648115,-9
139,FSV Mainz 05,39,3,3.8043542007428166,-0.8043542007428166,55,6,4.772737418581039,-1.2272625814189606,-0.9683832178382228,-3
140,Lorient,456,44,44.83243613083276,-0.832436130832761,556,62,57.959717253874615,-4.040282746125385,-13.127281123041854,-18
141,Panathinaikos,14,0,0.8462196671817895,-0.8462196671817895,20,2,2.4382052523391002,0.43820525233910024,-1.5919855851573108,-2
142,Las Palmas,472,40,40.86094700065212,-0.8609470006521178,556,64,67.67714837162318,3.6771483716231756,-26.816201370971058,-24
143,Mauritania,51,3,3.8769449150649753,-0.8769449150649753,63,3,4.66727537681121,1.6672753768112099,-0.7903304617462346,0
144,Lens,39,2,2.900448162978516,-0.9004481629785159,46,5,5.078060981606856,0.07806098160685604,-2.17761281862834,-3
145,Cádiz,22,3,3.9177379579014464,-0.9177379579014464,60,2,6.075335818013334,4.075335818013334,-2.157597860111888,1
146,Gazélec Ajaccio,426,32,32.937949395339935,-0.9379493953399347,408,48,41.933241240550764,-6.066758759449236,-8.99529184521083,-16
147,South Africa,73,5,5.941910821700635,-0.9419108217006347,94,2,8.487673986160383,6.487673986160383,-2.545763164459748,3
148,Georgia,28,2,2.9506692545031985,-0.9506692545031985,106,8,10.194090405114284,2.1940904051142844,-7.243421150611086,-6
149,Finland,19,1,1.9777197769304125,-0.9777197769304125,52,2,3.508086756508671,1.5080867565086709,-1.5303669795782584,-1
150,Sporting Gijón,411,42,42.98345594860276,-0.9834559486027601,647,72,69.1404508818783,-2.8595491181217056,-26.156994933275534,-30
151,Blackburn Rovers,17,0,1.0227906432340166,-1.0227906432340166,28,3,3.043982059152752,0.04398205915275222,-2.021191415918736,-3
152,Argentina,287,34,35.03935486576612,-1.0393548657661213,218,20,18.463370073436735,-1.5366299265632648,16.575984792329386,14
153,Portugal,255,22,23.068657212849917,-1.0686572128499172,181,17,16.655430561714933,-0.3445694382850668,6.413226651134984,5
